BudgetLOB,BudgetGroup,BudgetLine,d1,d2,d3,d4,d5,d6,d7,Status,FranchiseNo,FranchiseName,FinancialYear,FinancialMonth,CalendarYear,CalendarMonth,CalendarPeriod,CalendarStartDate,CalendarEndDate,MACH_SERIAL_No,InvoiceDate,InvoiceNo,InvoiceOrderNo,InvoiceVersionNo,InvoiceLineNo,AttachedToSerialNo,CustomerAccount,CustomerBillAccount,CustomerName,BillTitle,BillToCustomer,BillAddress1,BillAddress2,BillAddress3,PostCode,TypeOfSale,PickingNo,DeliveryMode,ShipDate,ShipAccNo,ShipName,ShipTitle,ShipBuilding,ShipStreetNo,ShipStreetName,ShipSuburb,CustomerOrderRef,UserID,Comment1,Comment2,Comment3,ProfitGroup,ProfitGroupDescription,ProfitCentre,ProfitCentreDescription,CustomerCategory,CustomerPurchaseHold,ApplyTo,StockItem,WarehouseCode,WarehouseDescription,Warehouse,SalesmanCode,SalesmanName,DepartmentCode,DepartmentName,ReleasedBy,GRNNo,ManualRefNo,ReasonCode,ReasonCodeDescription,CreditController,CreditControllerName,Branch,UnitOfMeasure,Chargable,Serialized,InsComm,EngineerCode,EngineerNo,EngineerName,Content,ContentSubType,ProductType,ProductTypeDescription,ProductCode,ProductCodeDescription,ProductCategory,ProductCategoryDescription,ProductRank,ProductSubtype,ProductSupplier,NashuaProd,MachineStatus,MachineCondition,TradeInSerialNo,SettlementValue,Segment,SegmentDescription,InvoiceType,StockQuantitiesIssued,QTYOrdered,QTYPicked,QtyBackOrder,UnitPrice,UnitCost,QTY,DiscAccountNo,DiscPcnt,DiscountValue,TaxPercentage,CostPrice,SellingPrice,Margin,TaxValue,LineTotal,Rundate,ShipDateDay
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100099,45257,1,3,,16711,16711,JAM STATIONERS(PTY)LTD,,JAM STATIONERS(PTY)LTD,P O BOX 1952,,UPINGTON,8800,Customer Billing,0,Not Applicable,1900-01-01,16711,JAM STATIONERS(PTY)LTD,,,61,MARK STREET,UPINGTON,VOICE CONTRACT,UPPPROCESS,Contract# CBC0004168,Contract Type VOIP,LTE 09602010012350,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,100,SALES,100,SALES,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,1179.36,0.0,,0,0.0,0.0,15,0.0,1179.36,1179.36,176.9,1356.26,29:20.6,1
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,E338MC21051,2020/06/02,99972,45122,1,1,,21621,21621,SC KEARNS SECONDARY SCHOOL,,SC KEARNS SECONDARY SCHOOL,PRIVATE BAG X 6037,,UPINGTON,8800,Incl Cons Sale,27370,Truck,2020-06-02,21621,SC KEARNS SECONDARY SCHOOL,,,1,HONEY SUCKLE STREET,UPINGTON,MEV TITUS,MARLIB,,,M/R BLK 34953,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,ANINE,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP2501E,"TON-E338MC21051,Yld9000",Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Incl Cons Sale,1,1,1,0,0.0,433.0,1.0,0,0.0,0.0,15,433.0,0.0,-433.0,0.0,0.0,29:20.6,2
,,,Non-Core,Annuity,Consumable,Other,Stationary,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/26,100942,45413,1,1,,18136,18136,KAI GARIB MUNICIPALITY,,KAI GARIB MUNICIPALITY,P.O BOX 174,,KAKAMAS,8870,Cash,27538,Truck,2020-06-26,18136,KAI GARIB MUNICIPALITY,,,,11TH AVENUE,KAKAMAS,FRANKLIN,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,421,KAI GARIEP CONSUMABLES,400,SUPPLIES,ANINE,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,,,0,,Consumables,Stationary,ZOOX,CONS OTHR STATNRY NON-NAS ALL,ENVELOPE,324 X 229 WHITE,Non,None,None,,,N,Sold,Blank,,0.0,,,Ship & Invoice,35,35,35,0,0.01,194.14,35.0,0,0.0,0.0,15,6794.9,0.35,-6794.55,0.05,0.4,29:20.6,26
,,,Business Infrastructure,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100091,45247,1,2,,19571,19571,LANDILE SECURITY CC,LANDILE SECURITY CC,LANDILE SECURITY CC,P O BOX 2537,,UPINGTON,8800,Cash,27459,Truck,2020-06-15,19571,LANDILE SECURITY CC,,,71,MARK STREET,UPINGTON,ROMEO,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,422,MARLI BEKKER,400,SUPPLIES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Non-Stock Charges,CENTS ADJ,*,CHARGES - INVOICE ONLY,CENTS ADJ,CENTS ADJUSTMENT,Non,None,,,,Y,Sold,Pgm Generated,,0.0,,Blank,Ship & Invoice,0,-1,-1,0,0.08,0.0,,0,0.0,0.0,0,0.0,-0.08,-0.08,0.0,-0.08,29:20.6,15
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/03,99985,45140,1,2,,18967,18967,PH ZANDBERG KONSTRUKSIE BK,,PH ZANDBERG KONSTRUKSIE BK,P O BOX 2157,,UPINGTON,8800,Cash,0,Not Applicable,1900-01-01,18967,PH ZANDBERG KONSTRUKSIE BK,,,4A,DORPER STREET,UPINGTON,RD 29/05/2020,ANINE,DN - NOT PROVIDED FOR,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,98690,N,999,None,999_None,300,ADMIN,300,ADMIN,ANINE,0,0,410,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,BANKCHG,*,CHARGES - INVOICE ONLY,BANKCHG,BANK CHARGES,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Debit Note,0,1,1,0,80.0,0.0,,0,0.0,0.0,0,0.0,80.0,80.0,0.0,80.0,29:20.6,1
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,Paper,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/03,99989,45146,1,1,,20720,20720,LRV INC ATTORNEYS,,LRV INC ATTORNEYS,P O BOX 3296,,UPINGTON,8800,Cash,27386,Truck,2020-06-03,20720,LRV INC ATTORNEYS,,,20,SCHRODER STREET,UPINGTON,HEIDIE,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,422,MARLI BEKKER,400,SUPPLIES,MARLIB,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Consumables,Paper,ZPNC,CONS PAPER NASHUA CUT PAPER,NBA4S80GSM,SAPPI/NASHUA BOND 80GSM A4,Non,None,,PAP,,Y,Sold,Blank,,0.0,CONS,Consumables,Ship & Invoice,5,5,5,0,50.5,42.82,5.0,0,0.0,0.0,15,214.1,252.5,38.4,37.88,290.38,29:20.6,3
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,Paper,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100967,45447,1,1,,19622,19622,DR JANNIE ARNDT,,DR JANNIE ARNDT,35 DU TOIT STREET,OOSTERVILLE,UPINGTON,8800,Cash,27554,Truck,2020-06-30,19622,DR JANNIE ARNDT,,,35,DU TOIT STREET,UPINGTON,NATASHA,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,422,MARLI BEKKER,400,SUPPLIES,MARLIB,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Consumables,Paper,ZPNC,CONS PAPER NASHUA CUT PAPER,NBA4S80GSM,SAPPI/NASHUA BOND 80GSM A4,Non,None,,PAP,,Y,Sold,Blank,,0.0,CONS,Consumables,Ship & Invoice,5,5,5,0,50.5,42.82,5.0,0,0.0,0.0,15,214.1,252.5,38.4,37.88,290.38,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/02,99964,45111,1,1,,18707,18707,SKYS OFFICE SOLUTIONS PTY LTD,NASHUA PIETERMARITZBURG,SKYS OFFICE SOLUTIONS PTY LTD,P O BOX 1224,,PIETERMARITZBURG,3200,Inter-Fra Sale/Billing,0,,1900-01-01,18707,NASHUA PIETERMARITZBURG,,,203,HOOSEN HAFFEJEE STREET,PIETERMARITZBURG,DSR TO PAY,DSRINVSRV3,FOR MACHINES IN UPP AREA,THAT ARE OWNED BY DPC,,DPC,NASHUA PIETERMARITZBURG,FRA,FRANCHISE ACOUNTS,0,Business Accounts,0,N,999,None,999_None,202,INSTALLATION COMM,200,SERVICE,DSRINVSRV3,0,0,0,,FRA,FRANCHISE ACCOUNTS,1,EA,,N,0.0,,0,,Non-Stock Charges,DSRCHARGE,*,CHARGES - INVOICE ONLY,DSRCHARGE,DSR:DPC prior 2020/06/01,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,88.9,0.0,,0,0.0,0.0,15,0.0,88.9,88.9,13.34,102.24,29:20.6,1
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/11,100054,45125,1,23,E23608834,21531,21531,SOZETA TRADING (PTY) LTD,,SOZETA TRADING (PTY) LTD,12 PRESIDENT STEYN STREET,DIE RAND,UPINGTON,8800,Cash,27375,,2020-06-02,21531,SOZETA TRADING (PTY) LTD,,,35,HAMILTON STREET,UPINGTON,SOZETA TRADING,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,420,JACO MOSTERT,100,SALES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,CCTV,Accessory,BAOD,NON NASHUA SECURITY ACCESSORY,WALLBOX,NETWORK CABINETTE,Non,None,None,,,N,Sold,Blank,,0.0,,,Dem Sale,1,1,1,0,0.0,2659.0,1.0,0,0.0,0.0,15,2659.0,0.0,-2659.0,0.0,0.0,29:20.6,2
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100100,45258,1,2,,19404,19404,DR JAN HENDRIK MEYER,DR JH MEYER INGELYF,DR JAN HENDRIK MEYER,P O BOX 204,,UPINGTON,8800,Customer Billing,0,Not Applicable,1900-01-01,19404,DR JAN HENDRIK MEYER,DR JH MEYER INGELYF,,643,SCOTT STREET,UPINGTON,VOICE CONTRACT,UPPPROCESS,Contract# CBC0004172,Contract Type VOIP,LTE 09602006860397,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,100,SALES,100,SALES,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,574.31,0.0,,0,0.0,0.0,15,0.0,574.31,574.31,86.15,660.46,29:20.6,1
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100972,45452,1,2,,14645,14645,JAPIE GOUSSARD VAN DEVENTER,MAPICO SERVICE,JAPIE GOUSSARD VAN DEVENTER,P O BOX 935,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,14645,MAPICO SERVICE,MAPICO SERVICE,,3,TOEKOMS STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 074969,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,31.9,0.0,,0,0.0,0.0,0,0.0,31.9,31.9,0.0,31.9,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100972,45452,1,40,,14645,14645,JAPIE GOUSSARD VAN DEVENTER,MAPICO SERVICE,JAPIE GOUSSARD VAN DEVENTER,P O BOX 935,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,14645,MAPICO SERVICE,MAPICO SERVICE,,3,TOEKOMS STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 089545,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,27.25,0.0,,0,0.0,0.0,0,0.0,27.25,27.25,0.0,27.25,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100975,45455,1,42,,15746,15746,ILUX TRADE AND INVEST(PTY)LTD,,ILUX TRADE AND INVEST(PTY)LTD,P O BOX 3200,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,15746,ILUX TRADE AND INVEST(PTY)LTD,,,29,LE ROUX STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 096183,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,1.72,0.0,,0,0.0,0.0,0,0.0,1.72,1.72,0.0,1.72,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100975,45455,1,55,,15746,15746,ILUX TRADE AND INVEST(PTY)LTD,,ILUX TRADE AND INVEST(PTY)LTD,P O BOX 3200,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,15746,ILUX TRADE AND INVEST(PTY)LTD,,,29,LE ROUX STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,NOC,NOCR CUSTOMERS,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 098213,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,4.44,0.0,,0,0.0,0.0,0,0.0,4.44,4.44,0.0,4.44,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100977,45457,1,6,,16916,16916,NEILERSDRIFT INTERMEDIATE,SCHOOL,NEILERSDRIFT INTERMEDIATE,P O BOX 808,,KEIMOES,8860,Cash,0,Not Applicable,2020-06-30,16916,NEILERSDRIFT INTERMEDIATE,SCHOOL,SCHOOL,,LOUISVALE ROAD,KEIMOES,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 096255,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,9.79,0.0,,0,0.0,0.0,0,0.0,9.79,9.79,0.0,9.79,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100982,45462,1,13,,19266,19266,BV JOBSON CONSTRUSTION AND TRA,INING (PTY) LTD,BV JOBSON CONSTRUSTION AND TRA,19 ERTJIE STREET,KALKSLOOT,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19266,BV JOBSON CONSTRUSTION AND TRA,INING (PTY) LTD,,19,ERTJIE STREET KALKSLOOT,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 097741,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,22.12,0.0,,0,0.0,0.0,0,0.0,22.12,22.12,0.0,22.12,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100985,45465,1,3,,19568,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,METHODIST CHURCH OF SA UPINGTO,P O BOX 219,,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19568,METHODIST CHURCH OF SA UPINGTO,N CIRCUIT 519,,33,BRUG STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 089981,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,22.16,0.0,,0,0.0,0.0,0,0.0,22.16,22.16,0.0,22.16,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100987,45467,1,4,,19831,19831,LEERKRANS INTERMEDIATE SCHOOL,,LEERKRANS INTERMEDIATE SCHOOL,P O BOX 3042,LEERKRANS,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19831,LEERKRANS INTERMEDIATE SCHOOL,,,43,SCHOOL STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 097250,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,7.09,0.0,,0,0.0,0.0,0,0.0,7.09,7.09,0.0,7.09,29:20.6,30
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/30,100987,45467,1,11,,19831,19831,LEERKRANS INTERMEDIATE SCHOOL,,LEERKRANS INTERMEDIATE SCHOOL,P O BOX 3042,LEERKRANS,UPINGTON,8800,Cash,0,Not Applicable,2020-06-30,19831,LEERKRANS INTERMEDIATE SCHOOL,,,43,SCHOOL STREET,UPINGTON,INTEREST,UPPPROCESS,Interest Charged at 15.50%,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,200,SERVICE,200,SERVICE,,0,0,0,,SCH,ANINE STENEKAMP,1,EA,,N,0.0,,0,,Non-Stock Charges,INTEREST,*,CHARGES - INVOICE ONLY,INTEREST,Refer Invoice # 097855,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,Invoice Only,0,1,1,0,1.63,0.0,,0,0.0,0.0,0,0.0,1.63,1.63,0.0,1.63,29:20.6,30
Smart Solutions,Smart Solutions,Surveilance,Smart Solutions,Hardware,Surveillance,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,D46034164,2020/06/11,100054,45125,1,11,E23608834,21531,21531,SOZETA TRADING (PTY) LTD,,SOZETA TRADING (PTY) LTD,12 PRESIDENT STEYN STREET,DIE RAND,UPINGTON,8800,Cash,27375,,2020-06-02,21531,SOZETA TRADING (PTY) LTD,,,35,HAMILTON STREET,UPINGTON,SOZETA TRADING,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,420,JACO MOSTERT,100,SALES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,Y,,,0,,CCTV,Accessory,BAND,CCTV ACCESSORY NASHUA DIGITAL,2025FWDI2.8,IP 2MP BULLT IR 30M 2.8MM IP66,Non,None,,,,Y,Sold,Blank,,0.0,,Blank,Dem Sale,1,1,1,0,0.0,1274.52,1.0,0,0.0,0.0,15,1274.52,0.0,-1274.52,0.0,0.0,29:20.6,2
,,,Non-Core,Annuity,Non-Stock Charge,,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/15,100125,45283,1,2,,17523,17523,P A STATIONERS UPT (PTY) LTD,,P A STATIONERS UPT (PTY) LTD,P O BOX 294,,UPINGTON,8800,Customer Billing,0,Not Applicable,1900-01-01,17523,P A STATIONERS UPT (PTY) LTD,,,46A,SCOTT STREET,UPINGTON,VOICE CONTRACT,UPPPROCESS,Contract# CBC0015981,Contract Type VOIP,LTE 09602007908876,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,N,999,None,999_None,420,JACO MOSTERT,100,SALES,,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,0.0,,0,,Non-Stock Charges,VOIP,*,CHARGES - INVOICE ONLY,VOIP,2020-05-15 to 2020-06-14,Non,None,,,,Y,Sold,Blank,,0.0,CHRG,Chargables,VOIP Invoice,0,1,1,0,832.97,0.0,,0,0.0,0.0,15,0.0,832.97,832.97,124.95,957.92,29:20.6,1
Business Infrastructure,Consumables,Mono,Business Infrastructure,Annuity,Consumable,Other,Toner,,Mono,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/04,99996,45158,1,1,,19619,19619,JAM STATIONERS (PTY) LTD,CONSUMABLE ONLY,JAM STATIONERS (PTY) LTD,P O BOX 1952,,UPINGTON,8800,Select A Serial #,27390,Truck,2020-06-04,19619,JAM STATIONERS (PTY)LTD,CONSUMABLE ONLY,CONSUMABLE ONLY,61,MARK STREET,UPINGTON,KATRIENA,MARLIB,,,,999,Unknown,DIR,DIRECT ACCOUNTS,1,Nashua Debtors,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,422,MARLI BEKKER,400,SUPPLIES,ANINE,0,0,0,,UP3,ANINE STEENKAMP 054-3311915,1,EA,,N,,,0,,Consumables,Toner,ZTNM,CONSUMABLE TONER NASHUA MFP,TONMP301EN,BLACK TONER MP301SPF,Non,None,,TON,,Y,Sold,Blank,,0.0,BCON,B&W Consumables,Ship & Invoice,2,2,2,0,850.0,517.0,2.0,0,0.0,0.0,15,1034.0,1700.0,666.0,255.0,1955.0,29:20.6,4
Business Infrastructure,Consumables,"Other (Staples, Labels, etc.)",Business Infrastructure,Annuity,Consumable,Other,,,,SellOut,UPP,NASHUA UPINGTON,2020,P09-Jun,2020,6,Jun-20,00:00.0,59:59.0,,2020/06/24,100919,45391,1,1,,21267,21267,SOLUTION PRO T/A,NASHUA VRYBURG,SOLUTION PRO T/A,P O BOX 4441,,BLOEMFONTEIN,9300,Cash,27522,Truck,2020-06-24,21267,NASHUA KATHU,,SHOP 4,1A,FINCHAM STREET,VRYBURG,DANIEL,MARLIB,,,,VRB,NASHUA VRYBURG,FRA,FRANCHISE ACOUNTS,0,Business Accounts,0,Y,1,MAIN WAREHOUSE,001_MAIN WAREHOUSE,402,SUPPIES N/C TONERS,400,SUPPLIES,MARLIB,0,0,0,,FRA,FRANCHISE ACCOUNTS,1,EA,,N,0.0,,0,,Consumables,Priport,ZVNM,CONS PRIPORT NAS PP MASTERS,MASTDX2330,A4 MASTER TYPE TT3 DX2330/2430,Non,None,,M/R,,Y,Sold,Blank,,0.0,PRIP,Priports,Ship & Invoice,5,5,5,0,309.0,309.0,5.0,0,0.0,0.0,0,1545.0,1545.0,0.0,0.0,1545.0,29:20.6,24
